Geneid	Chr	Start	End	Strand	Length	/scratch/project_2000350/genomics/rna-seq/bam/S1_1_5.bam	/scratch/project_2000350/genomics/rna-seq/bam/S2_1_5.bam	/scratch/project_2000350/genomics/rna-seq/bam/S4_0_015.bam	/scratch/project_2000350/genomics/rna-seq/bam/S5_0_015.bam	/scratch/project_2000350/genomics/rna-seq/bam/S5_1_5.bam	/scratch/project_2000350/genomics/rna-seq/bam/S6_0_015.bam	/scratch/project_2000350/genomics/rna-seq/bam/S7_0_015.bam	/scratch/project_2000350/genomics/rna-seq/bam/S7_1_5.bam	/scratch/project_2000350/genomics/rna-seq/bam/S8_0_015.bam	/scratch/project_2000350/genomics/rna-seq/bam/S8_1_5.bam	/scratch/project_2000350/genomics/rna-seq/bam/S9_0_015.bam	/scratch/project_2000350/genomics/rna-seq/bam/S9_1_5.bam
NCU05050	Supercontig_12.6;Supercontig_12.6	3915172;3915874	3915790;3916918	+;+	1664	54	66	254	220	52	179	199	78	236	52	229	42
NCU05051	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3910624;3911151;3911665;3913743;3914048	3911078;3911609;3913682;3913987;3915113	+;+;+;+;+	4243	92	58	218	325	104	297	312	127	189	141	250	83
NCU05052	Supercontig_12.6	3910649	3910951	-	303	0	0	0	0	0	0	0	0	0	0	0	0
NCU05053	Supercontig_12.6;Supercontig_12.6	3907959;3908916	3908847;3909664	-;-	1638	77	79	238	278	98	263	281	90	310	75	265	69
NCU05054	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3900072;3901154;3906498	3901097;3906422;3906576	-;-;-	6374	113	124	328	376	141	257	251	86	269	125	295	92
NCU05055	Supercontig_12.6	3898507	3899721	-	1215	0	1	2	0	0	0	0	0	0	0	0	0
NCU05056	Supercontig_12.6;Supercontig_12.6	3896137;3897264	3897060;3898073	-;-	1734	2	0	0	0	2	0	0	4	0	0	0	0
NCU05057	Supercontig_12.6;Supercontig_12.6	3894456;3895137	3895064;3895844	+;+	1317	35	48	105	157	44	81	184	48	166	39	183	26
NCU05058	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3893058;3893536;3893829	3893117;3893626;3894151	+;+;+	474	13	29	47	49	20	28	46	18	35	20	31	17
NCU05059	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3889494;3889729;3890080;3891028;3891171	3889623;3889778;3890916;3891096;3891758	+;+;+;+;+	1674	79	70	5380	6031	41	3929	4069	67	4824	68	5757	39
NCU05060	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3885489;3885729;3886593;3886797;3887152;3887599;3887741	3885635;3886426;3886743;3887080;3887537;3887666;3888389	+;+;+;+;+;+;+	2383	13	17	172	239	35	141	208	19	234	38	214	30
NCU05061	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3875719;3875910;3876409;3877231	3875803;3876240;3877138;3877242	+;+;+;+	1158	8	14	22	29	10	17	34	6	32	4	39	24
NCU05062	Supercontig_12.6;Supercontig_12.6	3872231;3873635	3873568;3874691	-;-	2395	78	107	330	406	112	394	493	141	332	125	426	90
NCU05063	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3870275;3870609;3870682;3871136	3870420;3870622;3870719;3872104	-;-;-;-	1167	4	4	12	10	0	13	3	7	9	5	9	0
NCU05064	Supercontig_12.6;Supercontig_12.6	3864210;3865612	3865542;3868482	+;+	4204	1896	2015	3968	5528	2301	4307	5029	2610	5091	2437	5787	1911
NCU05066	Supercontig_12.6;Supercontig_12.6	3851636;3852809	3852749;3854244	+;+	2550	4179	4975	4418	5524	4443	4626	5476	4769	4939	4144	5171	2835
NCU05067	Supercontig_12.6	3849540	3851095	-	1556	502	529	1833	2837	613	2731	3026	863	2626	705	2437	349
NCU05068	Supercontig_12.6;Supercontig_12.6	3840490;3841518	3841412;3842149	-;-	1555	361	431	571	1224	501	2697	839	644	750	504	594	382
NCU05069	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3838297;3838464;3839082;3840027	3838385;3839010;3839966;3840513	+;+;+;+	2008	1586	847	26230	21645	960	13536	11584	1130	14982	976	20290	359
NCU05070	Supercontig_12.6;Supercontig_12.6	3836237;3836499	3836420;3837690	+;+	1376	87	50	1085	1260	99	740	674	51	946	63	1174	17
NCU05071	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3832861;3832946;3833880	3832880;3833758;3834102	-;-;-	1056	5	14	158	121	15	105	59	10	85	11	100	0
NCU05073	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3828202;3828907;3828999	3828388;3828930;3829315	+;+;+	528	0	0	0	0	0	0	0	0	0	4	0	0
NCU05074	Supercontig_12.6;Supercontig_12.6	3824604;3826473	3826395;3827428	+;+	2748	511	509	138	157	407	168	177	457	186	627	163	645
NCU05075	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3822885;3823694;3823907;3824110;3824202	3823626;3823841;3824038;3824130;3824415	-;-;-;-;-	1257	682	647	349	640	848	501	633	843	537	834	547	528
NCU05076	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3821999;3822210;3822556	3822138;3822437;3822976	+;+;+	789	4231	4797	2471	2998	3792	3259	3715	4809	3124	4825	2843	3802
NCU05077	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3819182;3820255;3820813	3820200;3820749;3821665	-;-;-	2367	16094	18096	10057	12546	17207	12264	13213	18960	11176	17996	11598	14245
NCU05078	Supercontig_12.6;Supercontig_12.6	3817017;3818269	3817925;3819075	-;-	1716	133	119	950	987	127	599	530	94	630	127	820	78
NCU05079	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3809579;3810557;3811860	3810498;3811789;3812281	-;-;-	2575	3938	4546	3878	5034	4362	4202	6471	5101	4984	5193	4758	4486
NCU05080	Supercontig_12.6	3806853	3807987	-	1135	21	12	28	31	24	22	29	30	42	36	20	16
NCU05081	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3804073;3804798;3805427	3804272;3805337;3805934	-;-;-	1248	0	0	0	0	0	0	0	0	0	0	0	0
NCU05082	Supercontig_12.6;Supercontig_12.6	3802902;3803141	3803070;3803725	-;-	754	2	4	8	2	0	9	8	0	10	2	11	0
NCU05083	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3800074;3801220;3801756;3801948	3801131;3801704;3801786;3802482	-;-;-;-	2109	101	112	104	172	57	118	134	142	114	100	145	98
NCU05084	Supercontig_12.6;Supercontig_12.6	3797242;3797581	3797510;3798208	-;-	897	172	134	867	651	102	410	475	140	672	90	654	86
NCU05085	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3794170;3794527;3794659;3794787;3795264;3795694	3794452;3794585;3794703;3795062;3795533;3796368	-;-;-;-;-;-	1608	0	0	0	0	0	0	0	0	0	0	0	2
NCU05086	Supercontig_12.6	3778134	3781784	+	3651	0	2	4	0	0	2	0	0	0	0	0	0
NCU05089	Supercontig_12.6;Supercontig_12.6	3770926;3771494	3771423;3772990	-;-	1995	74	70	24	42	100	24	58	86	38	117	37	99
NCU05091	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3764397;3764695;3765207	3764469;3765143;3766529	+;+;+	1845	0	0	0	0	0	0	0	0	0	0	0	0
NCU05092	Supercontig_12.6;Supercontig_12.6	3762871;3763309	3763129;3763325	+;+	276	2	2	0	0	3	4	2	4	2	0	0	4
NCU05093	Supercontig_12.6;Supercontig_12.6	3759862;3761820	3761760;3761894	-;-	1974	2	0	5	14	0	0	4	4	6	4	10	2
NCU05094	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3758496;3758703;3758725;3759403;3759403	3758670;3759348;3759348;3759821;3759821	+;+;+;+;+	1240	314	303	326	409	274	241	309	218	309	287	310	313
NCU05095	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3754606;3755222;3755365	3755147;3755300;3756861	-;-;-	2118	2143	2577	1155	2203	2446	1814	2648	2853	2071	2764	1690	2165
NCU05096	Supercontig_12.6	3751174	3752463	-	1290	2	0	0	12	0	0	2	0	2	9	2	0
NCU05097	Supercontig_12.6;Supercontig_12.6	3748067;3749441	3749342;3749657	-;-	1493	2	0	0	10	0	4	4	0	12	2	4	0
NCU05098	Supercontig_12.6;Supercontig_12.6	3745790;3746022	3745936;3747272	-;-	1398	0	0	0	0	0	2	0	2	0	0	4	0
NCU05099	Supercontig_12.6;Supercontig_12.6	3744487;3745527	3745324;3745534	+;+	846	0	0	0	0	0	0	0	0	0	0	0	0
NCU05100	Supercontig_12.6	3742847	3743593	+	747	2	0	2	0	0	1	0	3	0	0	2	0
NCU05101	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3739645;3740428;3740670	3740356;3740550;3740815	+;+;+	981	6	12	6	15	8	15	14	16	18	16	10	1
NCU05102	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3736512;3736741;3737409	3736614;3737330;3737840	+;+;+	1125	27	17	68	75	32	67	102	31	122	27	96	26
NCU05104	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3732709;3733331;3733539;3733838	3733275;3733467;3733751;3734273	+;+;+;+	1353	0	0	2	0	0	2	4	0	2	0	0	0
NCU05105	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3727661;3729775;3729923	3729707;3729861;3730288	-;-;-	2500	4	4	20	14	2	10	23	6	20	6	12	4
NCU05106	Supercontig_12.6;Supercontig_12.6	3725598;3725828	3725703;3727005	+;+	1284	0	0	0	0	0	0	0	0	0	0	0	0
NCU05107	Supercontig_12.6;Supercontig_12.6	3721795;3721871	3721797;3722380	+;+	513	2	0	4	2	0	6	3	0	6	0	3	4
NCU05108	Supercontig_12.6;Supercontig_12.6	3719407;3720537	3720452;3720585	-;-	1095	0	0	0	0	4	0	0	0	0	0	0	2
NCU05110	Supercontig_12.6	3715815	3717107	+	1293	0	0	0	0	0	0	0	0	0	0	0	0
NCU05111	Supercontig_12.6;Supercontig_12.6	3712724;3713458	3713016;3713470	-;-	306	0	0	0	0	0	0	0	0	0	0	0	0
NCU05112	Supercontig_12.6;Supercontig_12.6	3711422;3712076	3712011;3712112	+;+	627	0	0	0	0	0	0	0	0	0	0	0	0
NCU05113	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3705731;3706247;3706363;3707304;3707498;3707635;3707780	3706150;3706303;3707239;3707441;3707579;3707713;3708016	-;-;-;-;-;-;-	1890	42	31	118	172	34	132	130	56	185	27	116	37
NCU05114	Supercontig_12.6;Supercontig_12.6	3702657;3703357	3703302;3704646	+;+	1936	30	11	13	23	31	17	28	20	22	12	24	10
NCU05115	Supercontig_12.6;Supercontig_12.6	3697911;3698263	3698186;3700838	+;+	2852	27	7	12	40	13	32	39	6	16	14	27	4
NCU05116	Supercontig_12.6;Supercontig_12.6	3696667;3696904	3696845;3697739	+;+	1015	561	503	406	582	403	540	525	446	448	472	499	356
NCU05117	Supercontig_12.6;Supercontig_12.6	3694101;3696211	3696151;3696303	-;-	2144	150	70	303	298	105	360	295	167	322	161	309	86
NCU05118	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3692136;3692621;3692943;3693091;3693339;3693600	3692524;3692659;3692976;3693099;3693439;3694162	+;+;+;+;+;+	1135	1071	928	5564	5448	838	3950	4145	1176	4754	1143	5211	908
NCU05119	Supercontig_12.6;Supercontig_12.6	3690783;3691705	3691576;3691958	-;-	1048	2881	2991	2161	2330	2753	1888	1816	3037	2080	2816	2181	1926
NCU05120	Supercontig_12.6;Supercontig_12.6	3685809;3690212	3690153;3690826	+;+	4960	3296	3791	2224	2676	3826	2405	2756	4422	2487	3875	2476	3110
NCU05121	Supercontig_12.6;Supercontig_12.6	3681542;3682264	3682210;3682601	-;-	1007	17	8	97	104	7	86	107	26	113	6	106	30
NCU05122	Supercontig_12.6	3679456	3680306	+	851	2	0	8	6	2	8	4	2	1	1	1	2
NCU05123	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3674569;3676867;3677388	3676797;3677310;3677884	-;-;-	3170	24	23	90	132	41	164	172	34	144	33	158	32
NCU05126	Supercontig_12.6	3662628	3664191	-	1564	2	15	39	44	2	15	22	2	48	4	24	14
NCU05127	Supercontig_12.6	3659740	3661693	-	1954	23	33	24	28	20	33	53	39	33	38	37	22
NCU05128	Supercontig_12.6;Supercontig_12.6	3658407;3658775	3658717;3661307	+;+	2844	74	55	142	123	44	63	67	47	109	81	135	61
NCU05129	Supercontig_12.6;Supercontig_12.6	3653336;3655494	3655416;3655838	-;-	2426	8238	11729	1463	2661	8597	2111	3296	9427	2505	9634	2350	9868
NCU05130	Supercontig_12.6;Supercontig_12.6	3650757;3652773	3652723;3653112	-;-	2307	317	335	102	134	269	151	187	324	114	367	144	340
NCU05131	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3645984;3645984;3646515;3646529;3646755;3646755;3647114;3647114;3647680;3647680	3646448;3646448;3646699;3646699;3647040;3647040;3647609;3647609;3647731;3647731	+;+;+;+;+;+;+;+;+;+	1484	8	6	6	6	2	0	14	10	10	6	4	2
NCU05132	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3620207;3621002;3621886	3620904;3621815;3629942	+;+;+	9569	533	607	459	414	801	466	233	690	405	822	547	269
NCU05133	Supercontig_12.6;Supercontig_12.6	3614247;3615983	3615925;3617841	-;-	3538	315	318	636	832	490	663	506	573	759	444	719	314
NCU05134	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3612920;3613452;3613614	3613356;3613529;3613899	+;+;+	801	246	245	97	118	178	126	133	233	122	268	89	175
NCU05135	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3607514;3608168;3608489;3609188;3609680	3607761;3608411;3608610;3609458;3610517	+;+;+;+;+	1723	31	35	77	93	36	76	79	39	94	31	110	26
NCU05136	Supercontig_12.6	3604415	3607109	+	2695	360	425	413	445	364	399	484	370	457	445	530	375
NCU05137	Supercontig_12.6;Supercontig_12.6	3599193;3600235	3600124;3603076	-;-	3774	168	229	94	145	159	123	100	179	136	209	131	228
NCU05138	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3598203;3598615;3599769	3598543;3599678;3600069	+;+;+	1706	152	184	18	20	136	20	19	100	7	153	21	160
NCU05141	Supercontig_12.6;Supercontig_12.6	3591245;3592416	3592206;3592915	-;-	1462	9395	8599	13313	15016	9584	12463	17003	10314	13691	10193	14020	7263
NCU05142	Supercontig_12.6;Supercontig_12.6	3589308;3589883	3589760;3590938	+;+	1509	232	142	787	706	151	603	448	198	563	236	724	119
NCU05143	Supercontig_12.6;Supercontig_12.6	3586229;3587248	3587119;3588999	+;+	2643	3201	2112	26726	25820	2443	15202	17630	2401	17995	2660	23859	841
NCU05145	Supercontig_12.6;Supercontig_12.6	3582824;3583028	3582946;3585329	+;+	2425	213	238	403	474	247	361	443	295	471	269	497	244
NCU05146	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3579429;3579606;3580067;3580249;3580376;3580610;3580880;3581338	3579547;3579980;3580174;3580300;3580547;3580822;3581258;3582285	-;-;-;-;-;-;-;-	2366	30	38	155	152	26	87	44	36	136	58	166	23
NCU05147	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3578037;3578838;3579172	3578496;3579049;3579231	+;+;+	732	8	0	200	133	4	110	61	16	145	6	139	2
NCU05148	Supercontig_12.6;Supercontig_12.6	3576423;3576870	3576780;3577317	+;+	806	334	133	4868	3536	165	1907	1761	239	2520	252	3181	61
NCU05149	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3573081;3574068;3574201;3574617;3574902;3575300	3574004;3574144;3574473;3574843;3575230;3576147	+;+;+;+;+;+	2678	4	2	32	55	6	54	36	6	36	6	68	2
NCU05150	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3571586;3571910;3572025	3571588;3571958;3572299	+;+;+	327	0	0	3	0	0	0	0	0	6	0	2	0
NCU05151	Supercontig_12.6;Supercontig_12.6	3567193;3567538	3567470;3570275	-;-	3016	56	18	332	317	8	245	198	32	246	24	363	8
NCU05152	Supercontig_12.6;Supercontig_12.6	3562387;3562986	3562877;3563355	-;-	861	54	51	58	51	41	72	42	41	86	33	81	36
NCU05153	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3556908;3558863;3559282	3558680;3559216;3559445	-;-;-	2291	332	273	101	204	282	131	210	265	165	289	147	183
NCU05154	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3552251;3553166;3555843	3553064;3555787;3556833	+;+;+	4427	36	18	63	96	6	57	52	14	76	30	84	22
NCU05155	Supercontig_12.6	3547815	3548678	-	864	0	0	17	5	0	18	6	2	20	3	30	0
NCU05156	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3545827;3546072;3546918	3545964;3546853;3547617	+;+;+	1620	103	102	437	525	143	382	319	156	353	165	473	82
NCU05157	Supercontig_12.6	3542966	3545802	+	2837	972	1003	2386	2626	1233	2073	2047	1380	2216	1255	2456	913
NCU05158	Supercontig_12.6;Supercontig_12.6	3541012;3541730	3541465;3542289	+;+	1014	52	77	97	82	88	103	87	89	86	100	75	88
NCU05159	Supercontig_12.6;Supercontig_12.6;Supercontig_12.6	3537954;3539549;3539800	3539481;3539728;3540330	+;+;+	2239	44	58	138	200	63	192	172	104	186	60	216	68
NCU05160	Supercontig_12.4;Supercontig_12.4	5912162;5913069	5913006;5913850	+;+	1627	38	54	147	207	54	94	130	60	127	49	138	30
NCU05161	Supercontig_12.4;Supercontig_12.4	5910233;5911115	5910995;5911590	+;+	1239	82	30	307	242	23	221	197	42	249	63	295	20
NCU05162	Supercontig_12.4	5907077	5909108	-	2032	27	46	196	227	27	203	214	64	137	50	190	38
NCU05163	Supercontig_12.4;Supercontig_12.4	5905743;5906173	5906114;5906842	-;-	1042	242	286	160	202	270	146	151	303	153	280	159	197
NCU05164	Supercontig_12.4	5904592	5905524	-	933	0	0	0	0	0	0	0	0	0	0	0	0
NCU05165	Supercontig_12.4;Supercontig_12.4	5903497;5904296	5904236;5905410	+;+	1855	250	326	237	384	296	257	384	331	354	301	340	347
NCU05166	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	5901294;5902078;5902371	5901714;5902291;5902573	+;+;+	838	35	61	24	29	49	17	21	61	19	56	8	66
NCU05168	Supercontig_12.4;Supercontig_12.4	5895542;5896312	5896252;5898068	+;+	2468	4569	5308	2396	2961	5973	2854	3173	5777	2684	5168	2864	4349
NCU05169	Supercontig_12.4;Supercontig_12.4	5891781;5893422	5893361;5894885	-;-	3045	961	755	3896	3820	718	2460	1912	769	2520	749	3183	477
NCU05170	Supercontig_12.4;Supercontig_12.4	5889233;5889910	5889858;5889980	-;-	697	0	2	3	24	6	8	10	6	16	0	22	6
NCU05171	Supercontig_12.4	5887564	5888184	+	621	0	0	4	0	0	0	0	0	2	0	0	0
NCU05172	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	5881421;5882455;5883193	5882385;5882810;5885111	-;-;-	3240	0	0	0	2	0	0	0	0	12	0	8	0
NCU05173	Supercontig_12.4	5878979	5881084	-	2106	0	0	0	2	0	0	0	0	0	0	0	0
NCU05175	Supercontig_12.4	5869810	5871864	+	2055	0	0	0	0	0	0	0	0	0	0	0	0
NCU05176	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	5868124;5868269;5868462;5868871	5868158;5868390;5868808;5869498	+;+;+;+	1132	4	0	20	14	2	22	30	2	16	0	10	2
NCU05177	Supercontig_12.4;Supercontig_12.4	5866626;5867025	5866884;5867116	+;+	351	0	0	0	0	0	0	0	0	0	0	0	0
NCU05178	Supercontig_12.4	5851070	5852551	+	1482	0	0	0	0	0	0	0	0	0	0	0	0
NCU05179	Supercontig_12.4	5848609	5850702	-	2094	0	0	0	0	0	0	0	0	0	0	0	0
NCU05180	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	5844077;5844408;5844805;5844805;5845555;5846209;5846209	5844740;5844740;5846157;5845056;5846157;5847434;5847442	+;+;+;+;+;+;+	3251	825	800	817	857	1185	891	870	1133	933	1137	929	839
NCU05182	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	5837767;5837767;5839000;5839886;5839886	5839835;5838879;5839835;5841680;5841680	-;-;-;-;-	3864	987	1138	651	843	991	733	778	1242	737	1314	807	1576
NCU05183	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	5831764;5833808;5834090;5834913	5833530;5833918;5834820;5836241	+;+;+;+	3938	2	8	2	2	9	3	6	0	1	2	4	2
NCU05184	Supercontig_12.4	5829566	5831498	+	1933	18	13	14	17	3	8	19	12	16	10	24	4
NCU05185	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	5824125;5827411;5827511	5827358;5827457;5827967	-;-;-	3738	117	112	389	735	97	698	367	128	771	111	643	79
NCU05186	Supercontig_12.4	5822204	5823145	+	942	11	34	23	29	28	11	25	7	17	25	19	37
NCU05187	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	5819688;5819926;5820213;5820620	5819864;5820152;5820561;5821483	+;+;+;+	1617	8	8	3	24	12	6	6	6	14	9	28	8
NCU05188	Supercontig_12.4;Supercontig_12.4	5816743;5817112	5817059;5819374	+;+	2580	164	106	129	74	64	80	113	83	104	99	138	14
NCU05189	Supercontig_12.4;Supercontig_12.4	5810737;5812010	5811957;5812479	-;-	1691	13	7	10	10	8	9	10	8	2	14	10	8
NCU05190	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	5809929;5810111;5810358;5810674	5810049;5810299;5810615;5810747	+;+;+;+	642	0	0	0	4	0	0	0	0	0	0	2	0
NCU05191	Supercontig_12.4;Supercontig_12.4	5806268;5807225	5807156;5807631	-;-	1296	9	12	8	0	8	2	6	18	0	13	10	14
NCU05192	Supercontig_12.4;Supercontig_12.4	5803696;5804400	5804345;5805628	+;+	1879	18	16	26	74	45	37	29	15	32	18	46	21
NCU05193	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	5800855;5801359;5803323	5801296;5803256;5803581	+;+;+	2599	8	23	41	78	16	45	50	22	56	22	75	18
NCU05194	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	5796280;5796762;5799315	5796695;5799249;5799796	-;-;-	3386	276	424	404	510	588	423	649	712	517	697	544	310
NCU05195	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	5793912;5793912;5794613;5794613;5796076	5794538;5794538;5795985;5796103;5796404	+;+;+;+;+	2419	469	466	1397	1566	530	1289	1442	664	1328	731	1390	429
NCU05196	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	5790221;5790734;5791015;5791838;5791838;5793157;5793157	5790953;5791729;5791729;5793072;5793072;5793688;5793688	-;-;-;-;-;-;-	3276	3010	3239	3872	5000	3444	4358	6086	3672	4734	3008	4400	2459
NCU05197	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	5790091;5790813;5791134	5790758;5790889;5791165	+;+;+	777	66	37	15	33	45	20	37	26	26	52	12	22
NCU05198	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	5787282;5787529;5788209;5788951;5789151	5787468;5788151;5788897;5789100;5789190	+;+;+;+;+	1689	1182	1185	759	1013	967	633	715	804	799	1148	800	675
NCU05199	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	5780841;5781224;5781224;5782112;5782112;5783360;5783360;5783850;5783953;5783953;5783953;5784136;5785877	5783284;5782009;5782009;5783895;5783281;5783895;5783468;5783895;5785414;5785353;5784018;5785813;5786092	-;-;-;-;-;-;-;-;-;-;-;-;-	5132	168	289	627	849	223	600	806	341	633	290	945	254
NCU05200	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	5776486;5777461;5780110	5777398;5779958;5780577	+;+;+	3879	2456	2807	808	1036	2617	937	1037	3261	901	2579	1009	2207
NCU05201	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	5773187;5773480;5773845;5774210;5774944;5775142	5773398;5773792;5774153;5774883;5775090;5775895	+;+;+;+;+;+	2409	38	50	19	31	80	17	50	82	20	62	32	65
NCU05202	Supercontig_12.4;Supercontig_12.4	5769195;5770248	5770175;5771094	+;+	1828	4799	5686	1001	1256	6795	1409	1406	7108	1159	7363	1225	5651
NCU05203	Supercontig_12.4;Supercontig_12.4	5765356;5766874	5766768;5767760	-;-	2300	5181	6639	1343	1772	5116	1917	1901	5450	1909	5376	1605	5810
NCU05204	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	5761057;5761057;5761659;5761659;5763615;5763615;5763771;5763771;5763848;5763848;5763988;5763988;5764585	5761596;5761596;5763550;5763550;5763706;5763706;5763787;5763787;5763917;5763917;5764529;5764690;5764657	-;-;-;-;-;-;-;-;-;-;-;-;-	3314	1697	2062	1860	2050	2141	1833	2090	2617	1965	2394	2078	1572
NCU05206	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	5751253;5752371;5752666;5752856;5753072;5753480	5752310;5752609;5752795;5752984;5753420;5754729	-;-;-;-;-;-	3155	732	760	674	785	951	666	918	1150	694	1074	739	724
NCU05207	Supercontig_12.4;Supercontig_12.4	5747427;5748874	5748787;5749027	-;-	1515	21	15	28	16	17	9	31	42	36	28	27	22
NCU05208	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	5743894;5745279;5745783;5746077	5745194;5745691;5745930;5747538	+;+;+;+	3324	292	355	214	320	336	258	425	402	322	352	275	274
NCU05209	Supercontig_12.4;Supercontig_12.4	5743949;5744882	5744817;5745200	-;-	1188	0	0	0	0	0	0	0	0	0	0	0	0
NCU05210	Supercontig_12.4;Supercontig_12.4	5741984;5742776	5742706;5743793	+;+	1741	35	65	96	129	82	85	208	64	110	36	94	46
NCU05211	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	5735987;5740853;5740996	5740762;5740943;5741245	-;-;-	5117	127	115	282	383	138	276	320	248	320	207	364	125
NCU05212	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	5733357;5733557;5734044	5733498;5733991;5735851	+;+;+	2385	16	16	21	19	4	20	48	24	26	12	45	8
